Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,time_spent
41,0,1.0,Research & Development,2,3,Life Sciences,480,Male,2,Research Scientist,Single,47410,6.0,16,0,8.0,3,2,2,1,3,3,4.0,3.0,3.0,24791.144578
39,0,1.0,Sales,2,3,Life Sciences,481,Male,3,Human Resources,Married,21150,1.0,18,0,21.0,3,21,11,8,4,3,4.0,4.0,3.0,25528.068273
27,0,1.0,Research & Development,3,3,Life Sciences,482,Male,2,Human Resources,Married,31610,0.0,13,2,4.0,0,3,2,2,3,3,1.0,4.0,3.0,26261.297188
35,0,1.0,Sales,24,3,Medical,483,Male,5,Sales Executive,Divorced,57450,1.0,17,3,3.0,4,3,1,2,3,3,2.0,4.0,2.0,24956.168674
42,0,1.0,Research & Development,23,4,Other,484,Male,1,Research Scientist,Married,23730,6.0,14,1,21.0,3,1,0,0,4,3,4.0,3.0,3.0,28883.196787
50,0,1.0,Sales,27,3,Medical,485,Male,2,Sales Executive,Married,33100,4.0,22,1,8.0,3,1,0,0,4,4,1.0,4.0,3.0,22263.694779
59,0,1.0,Research & Development,16,4,Medical,486,Female,5,Laboratory Technician,Single,186650,3.0,12,0,30.0,3,5,4,3,2,3,3.0,4.0,3.0,36379.718875
37,1,1.0,Sales,15,3,Marketing,487,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,0,4,3,1.0,2.0,1.0,23725.409638
55,0,2.0,Research & Development,26,2,Life Sciences,488,Female,2,Sales Executive,Married,27890,3.0,13,1,17.0,2,8,6,7,2,3,3.0,2.0,3.0,31038.176706
41,0,0.0,Research & Development,19,1,Life Sciences,489,Male,2,Research Scientist,Divorced,58280,1.0,13,0,21.0,0,21,5,10,3,3,2.0,3.0,3.0,22588.891566
38,0,1.0,Research & Development,24,2,Other,490,Female,1,Laboratory Technician,Single,23260,8.0,14,0,19.0,3,1,0,0,4,3,3.0,4.0,3.0,30173.811244
26,1,0.0,Research & Development,21,1,Life Sciences,491,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2,2,3,2.0,1.0,3.0,27600.196787
52,1,1.0,Research & Development,5,4,Medical,492,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,9,4,3,1.0,4.0,3.0,21655.116465
44,0,1.0,Research & Development,16,3,Life Sciences,493,Female,1,Healthcare Representative,Married,80200,3.0,11,1,23.0,2,12,11,11,3,3,4.0,4.0,3.0,39222.959839
50,0,0.0,Human Resources,2,2,Life Sciences,494,Male,1,Laboratory Technician,Married,36880,0.0,11,0,19.0,3,18,0,13,2,3,4.0,3.0,3.0,23210.947791
36,1,1.0,Sales,2,4,Technical Degree,495,Male,4,Sales Executive,Single,54820,1.0,18,0,18.0,3,17,15,14,3,3,3.0,1.0,3.0,28184.373493
39,0,2.0,Sales,11,3,Marketing,496,Male,1,Sales Executive,Single,160150,1.0,11,0,21.0,3,21,2,8,4,3,4.0,1.0,3.0,38953.212851
33,0,0.0,Sales,9,2,Technical Degree,497,Male,5,Sales Representative,Single,12000,0.0,11,1,3.0,3,2,2,2,3,3,2.0,4.0,2.0,27480.28514
45,0,1.0,Research & Development,7,2,Other,498,Male,1,Human Resources,Married,56610,3.0,12,0,26.0,2,9,1,1,2,3,4.0,4.0,4.0,26621.522088
32,0,0.0,Research & Development,15,3,Medical,499,Male,2,Manager,Single,69290,9.0,20,0,10.0,6,8,7,7,1,4,4.0,3.0,3.0,25915.13253
34,0,1.0,Sales,6,4,Marketing,500,Male,2,Research Director,Divorced,96130,0.0,12,1,16.0,5,15,0,9,2,3,2.0,4.0,2.0,25440.361445
59,0,1.0,Research & Development,5,3,Life Sciences,501,Male,2,Research Scientist,Married,56740,3.0,12,0,14.0,6,6,0,4,3,3,2.0,4.0,1.0,29182.445783
45,0,1.0,Research & Development,16,1,Medical,502,Male,2,Sales Executive,Single,54840,1.0,20,3,6.0,6,6,0,4,3,4,2.0,2.0,3.0,24028.072289
53,0,2.0,Sales,8,2,Medical,503,Male,2,Research Scientist,Married,120610,2.0,20,1,30.0,2,15,6,12,4,4,3.0,2.0,3.0,28002.224899
36,1,1.0,Research & Development,7,2,Life Sciences,504,Female,1,Research Scientist,Divorced,56600,7.0,12,0,9.0,3,1,0,0,3,3,1.0,3.0,2.0,21900.88755
26,1,2.0,Sales,2,3,Life Sciences,505,Male,2,Research Scientist,Married,48210,6.0,14,2,6.0,2,3,1,2,3,3,1.0,1.0,3.0,29522.90763
34,0,1.0,Research & Development,2,2,Life Sciences,506,Male,1,Sales Representative,Married,64100,1.0,13,1,1.0,5,1,0,0,2,3,3.0,3.0,3.0,33188.224899
28,0,1.0,Research & Development,10,3,Other,507,Male,2,Sales Representative,Married,52100,1.0,15,0,1.0,1,1,0,0,4,3,4.0,2.0,3.0,27970.75502
38,0,2.0,Sales,9,4,Medical,508,Male,2,Research Scientist,Married,26950,3.0,14,1,8.0,4,2,2,2,1,3,3.0,3.0,3.0,27321.116465
50,0,1.0,Research & Development,5,4,Life Sciences,509,Male,1,Sales Executive,Married,118780,2.0,13,1,29.0,2,8,7,7,3,3,2.0,3.0,2.0,34559.192771
37,0,1.0,Research & Development,1,3,Life Sciences,510,Male,1,Laboratory Technician,Single,170680,3.0,23,0,8.0,6,4,0,1,3,4,4.0,2.0,2.0,26135.200803
40,0,1.0,Human Resources,2,3,Medical,511,Male,5,Sales Executive,Married,24550,1.0,15,1,8.0,2,7,7,5,3,3,3.0,1.0,2.0,22045.224899
26,0,2.0,Research & Development,3,3,Medical,512,Male,2,Laboratory Technician,Divorced,139640,1.0,11,2,5.0,1,5,1,3,2,3,1.0,3.0,3.0,27761.779116
46,0,1.0,Research & Development,2,1,Medical,513,Female,3,Research Scientist,Divorced,49410,9.0,13,2,23.0,2,2,2,2,2,3,4.0,4.0,3.0,26587.803212
54,0,1.0,Research & Development,5,3,Medical,514,Female,2,Manufacturing Director,Married,24780,6.0,11,0,13.0,0,9,7,0,3,3,3.0,3.0,3.0,27246.939759
56,0,2.0,Research & Development,1,2,Life Sciences,515,Female,2,Manufacturing Director,Married,52280,2.0,11,0,18.0,4,5,0,3,3,3,1.0,3.0,3.0,24892.273092
36,0,1.0,Research & Development,4,2,Life Sciences,516,Female,2,Human Resources,Single,44780,0.0,18,1,15.0,3,14,7,8,3,3,4.0,4.0,2.0,23808.052208
55,0,0.0,Research & Development,2,3,Medical,517,Female,2,Manager,Single,75470,7.0,16,0,31.0,2,9,6,2,2,3,3.0,1.0,4.0,22024.080321
43,0,1.0,Sales,25,2,Life Sciences,518,Male,3,Research Scientist,Divorced,50550,5.0,22,0,18.0,2,1,0,0,2,4,3.0,4.0,3.0,28521.574297
20,1,2.0,Sales,8,3,Marketing,519,Male,3,Sales Executive,Single,34640,1.0,20,0,2.0,3,2,0,2,2,4,4.0,4.0,3.0,32799.457831
21,1,1.0,Research & Development,1,4,Life Sciences,520,Male,1,Manager,Single,57750,1.0,18,0,1.0,2,1,1,0,3,3,3.0,1.0,2.0,23816.819277
46,0,1.0,Sales,12,3,Marketing,521,Female,3,Healthcare Representative,Divorced,89430,8.0,12,1,19.0,6,16,1,7,3,3,4.0,1.0,3.0,39573.297188
51,1,1.0,Sales,23,3,Medical,522,Female,2,Research Scientist,Married,192720,9.0,20,0,18.0,2,10,2,7,3,4,1.0,3.0,4.0,31376.638554
28,1,0.0,Research & Development,19,4,Life Sciences,523,Female,4,Laboratory Technician,Single,52380,1.0,17,1,10.0,4,10,1,9,2,3,2.0,1.0,2.0,26690.518072
26,0,1.0,Research & Development,5,4,Medical,524,Female,2,Sales Executive,Married,46820,1.0,11,1,6.0,3,5,1,3,1,3,1.0,1.0,3.0,27061.698795
30,0,1.0,Research & Development,8,3,Medical,525,Female,1,Sales Executive,Married,183000,0.0,14,0,7.0,6,6,0,2,3,3,3.0,1.0,2.0,22507.66265
41,0,1.0,Sales,1,4,Life Sciences,526,Female,1,Research Director,Married,52570,1.0,14,0,10.0,2,10,0,8,4,3,2.0,3.0,3.0,28373.244979
38,0,1.0,Research & Development,5,3,Technical Degree,527,Male,1,Sales Executive,Married,63490,0.0,11,0,20.0,3,19,1,9,3,3,3.0,3.0,2.0,26288.895582
40,0,1.0,Sales,1,4,Marketing,528,Male,1,Sales Executive,Married,48690,4.0,12,0,14.0,2,11,11,1,3,3,1.0,4.0,3.0,28540.823293
27,0,0.0,Sales,11,3,Technical Degree,529,Female,2,Laboratory Technician,Married,99850,1.0,14,1,3.0,3,3,1,2,2,3,1.0,3.0,3.0,28814.349397
55,0,2.0,Research & Development,23,5,Life Sciences,530,Male,3,Laboratory Technician,Married,36970,3.0,13,1,23.0,1,3,1,2,3,3,4.0,2.0,3.0,24237.28514
28,0,1.0,Research & Development,1,3,Life Sciences,531,Male,2,Healthcare Representative,Single,74570,3.0,11,2,10.0,1,8,1,7,4,3,3.0,3.0,4.0,23798.90763
44,1,1.0,Research & Development,18,4,Life Sciences,532,Female,2,Sales Executive,Married,21190,9.0,15,0,24.0,3,20,3,6,3,3,2.0,1.0,3.0,22310.983935
33,0,1.0,Sales,23,4,Marketing,533,Female,4,Sales Executive,Divorced,39830,4.0,12,0,9.0,3,3,1,2,3,3,4.0,4.0,3.0,23097.493975
35,1,1.0,Sales,7,4,Life Sciences,534,Male,3,Sales Representative,Single,61180,0.0,21,1,9.0,3,8,4,7,2,4,4.0,1.0,3.0,35303.79518
33,1,2.0,Research & Development,1,2,Life Sciences,535,Female,1,Sales Executive,Single,62140,1.0,19,2,14.0,3,13,3,8,3,3,1.0,3.0,3.0,28059.469879
28,0,1.0,Human Resources,1,1,Human Resources,536,Male,2,Research Scientist,Divorced,63470,1.0,15,1,4.0,2,4,2,2,3,3,1.0,3.0,2.0,24002.90763
34,0,2.0,Sales,29,4,Marketing,537,Male,1,Research Scientist,Single,115100,0.0,14,1,7.0,5,6,0,4,3,3,1.0,4.0,2.0,24049.361445
37,0,1.0,Research & Development,7,4,Life Sciences,538,Male,4,Sales Executive,Divorced,71430,2.0,21,0,8.0,6,1,0,0,2,4,4.0,4.0,3.0,38103.437751
25,1,1.0,Human Resources,25,4,Human Resources,539,Female,2,Research Scientist,Married,82680,1.0,12,0,7.0,3,7,5,6,2,3,4.0,4.0,4.0,39219.618473
26,1,1.0,Sales,8,2,Marketing,540,Male,2,Sales Executive,Divorced,80950,1.0,15,0,1.0,3,1,0,0,4,3,1.0,3.0,2.0,28139.590361
33,1,1.0,Research & Development,8,2,Life Sciences,541,Male,4,Manufacturing Director,Single,29040,4.0,13,0,5.0,2,2,2,2,3,3,1.0,2.0,3.0,36763.79518
42,0,1.0,Research & Development,11,1,Life Sciences,542,Male,4,Research Scientist,Married,60320,0.0,14,0,23.0,2,22,13,7,2,3,4.0,1.0,3.0,24413.967871
28,1,2.0,Research & Development,7,3,Life Sciences,543,Male,2,Manager,Divorced,29760,1.0,14,0,1.0,3,1,0,0,3,3,1.0,2.0,3.0,22655.100401
50,1,2.0,Research & Development,1,4,Medical,544,Male,2,Research Scientist,Single,159920,3.0,14,0,5.0,3,0,0,0,3,3,4.0,3.0,3.0,37661.66265
33,0,2.0,Sales,9,3,Medical,545,Female,2,Research Scientist,Married,46490,0.0,12,0,4.0,2,3,0,2,2,3,4.0,2.0,3.0,28916.987951
34,0,0.0,Sales,1,1,Marketing,546,Female,2,Research Director,Married,26960,3.0,23,0,6.0,3,0,0,0,3,4,3.0,4.0,3.0,25635.188755
48,0,0.0,Sales,2,1,Life Sciences,547,Male,2,Sales Executive,Single,23700,2.0,11,0,27.0,3,5,2,1,3,3,1.0,4.0,2.0,22381.409638
45,0,0.0,Research & Development,1,3,Medical,548,Female,2,Human Resources,Married,125040,1.0,12,1,15.0,2,15,4,12,3,3,2.0,3.0,3.0,21624.104417
52,0,1.0,Sales,1,3,Life Sciences,549,Male,1,Sales Executive,Single,59740,7.0,18,1,18.0,6,8,4,0,3,3,2.0,2.0,3.0,28746.714859
38,0,1.0,Research & Development,6,2,Medical,550,Male,1,Research Scientist,Divorced,47360,0.0,11,1,9.0,3,8,2,7,2,3,3.0,3.0,3.0,38513.253012
29,0,1.0,Research & Development,8,3,Medical,551,Female,4,Research Scientist,Divorced,52960,4.0,14,0,11.0,3,7,1,7,4,3,3.0,4.0,3.0,22770.176706
28,0,1.0,Human Resources,1,3,Human Resources,552,Female,4,Laboratory Technician,Divorced,67810,0.0,15,1,10.0,2,9,1,7,3,3,4.0,2.0,2.0,24819.730923
46,0,1.0,Research & Development,6,4,Medical,553,Male,3,Sales Executive,Married,21740,3.0,11,1,23.0,3,12,4,9,3,3,1.0,3.0,3.0,23018.64257
38,0,1.0,Research & Development,7,4,Medical,554,Male,1,Sales Executive,Single,66530,7.0,20,1,10.0,2,1,0,0,3,4,4.0,2.0,3.0,26607.742971
43,0,2.0,Research & Development,5,3,Medical,555,Female,2,Laboratory Technician,Married,96990,8.0,19,1,18.0,3,8,0,1,3,3,3.0,1.0,3.0,25631.148594
39,1,2.0,Sales,1,3,Marketing,556,Male,2,Healthcare Representative,Divorced,67550,7.0,14,1,21.0,2,18,11,5,3,3,1.0,4.0,3.0,25910.702811
40,0,1.0,Research & Development,1,1,Life Sciences,557,Male,1,Healthcare Representative,Single,22130,1.0,17,0,21.0,4,20,4,9,3,3,3.0,3.0,4.0,21534.751004
21,0,1.0,Research & Development,1,4,Life Sciences,558,Female,1,Research Scientist,Single,26100,1.0,11,1,2.0,3,2,2,2,2,3,4.0,2.0,4.0,37854.261044
39,0,0.0,Research & Development,6,3,Life Sciences,559,Male,1,Laboratory Technician,Single,28510,9.0,15,0,9.0,2,5,0,3,3,3,3.0,2.0,2.0,22300.369477
36,0,0.0,Research & Development,1,3,Medical,560,Male,3,Sales Representative,Single,34520,2.0,13,3,18.0,4,11,0,9,4,3,1.0,4.0,3.0,25887.13253
31,0,2.0,Research & Development,7,3,Life Sciences,561,Male,1,Sales Executive,Married,52580,0.0,14,3,3.0,5,2,2,2,3,3,3.0,4.0,3.0,23787.076305
28,0,1.0,Sales,2,4,Marketing,562,Male,1,Sales Executive,Married,93550,0.0,11,0,6.0,4,5,0,4,3,3,1.0,2.0,1.0,26911.562248
35,0,2.0,Research & Development,9,2,Other,563,Female,1,Manufacturing Director,Divorced,104960,1.0,13,1,5.0,2,5,0,2,3,3,4.0,4.0,3.0,23751.341365
49,0,1.0,Sales,2,2,Medical,564,Female,1,Sales Executive,Married,63800,6.0,23,1,22.0,1,9,2,3,2,4,4.0,2.0,3.0,25830.626506
34,0,2.0,Sales,9,1,Technical Degree,565,Male,2,Sales Executive,Single,26570,2.0,13,1,5.0,3,3,0,2,2,3,4.0,3.0,2.0,28872.939759
29,0,2.0,Research & Development,1,4,Medical,566,Male,3,Research Scientist,Divorced,27160,0.0,18,0,8.0,2,7,1,1,1,3,4.0,2.0,2.0,25567.389558
42,0,1.0,Sales,21,2,Life Sciences,567,Female,1,Healthcare Representative,Single,22010,4.0,12,1,16.0,3,1,0,0,4,3,2.0,4.0,3.0,25920.469879
29,0,1.0,Sales,4,2,Other,568,Female,2,Healthcare Representative,Married,65400,1.0,22,0,10.0,2,10,1,2,1,4,2.0,4.0,2.0,39230.036144
38,0,1.0,Research & Development,1,3,Medical,569,Female,1,Human Resources,Married,38160,1.0,13,2,7.0,2,7,5,0,2,3,3.0,3.0,4.0,23519.361445
28,0,2.0,Sales,6,4,Life Sciences,570,Male,1,Manager,Divorced,52530,1.0,15,0,3.0,2,3,0,2,3,3,3.0,3.0,3.0,38482.614457
18,1,0.0,Research & Development,2,4,Medical,571,Male,3,Laboratory Technician,Single,109650,1.0,18,0,0.0,5,0,0,0,4,3,3.0,3.0,3.0,25173.895582
33,1,1.0,Research & Development,3,2,Life Sciences,572,Male,1,Sales Executive,Single,49360,0.0,14,0,6.0,2,5,0,3,2,3,1.0,1.0,3.0,32324.879518
41,0,1.0,Research & Development,4,2,Medical,573,Male,2,Research Scientist,Married,25430,3.0,12,0,6.0,3,1,0,0,3,3,2.0,4.0,3.0,29263.012048
31,1,2.0,Sales,10,3,Technical Degree,574,Female,1,Research Director,Married,53040,1.0,17,0,2.0,3,2,2,2,4,3,3.0,3.0,2.0,25656.409638
37,0,1.0,Research & Development,23,3,Life Sciences,575,Male,3,Manufacturing Director,Divorced,166590,7.0,16,1,10.0,2,6,1,3,3,3,3.0,4.0,3.0,28813.538152
27,0,1.0,Research & Development,6,2,Medical,576,Female,1,Healthcare Representative,Married,42600,1.0,11,2,4.0,2,4,2,2,3,3,4.0,3.0,3.0,26701.301204
34,0,1.0,Sales,1,1,Marketing,577,Female,2,Laboratory Technician,Married,24760,1.0,19,0,6.0,2,6,1,3,3,3,2.0,3.0,2.0,25492.847389
35,0,1.0,Research & Development,6,3,Life Sciences,578,Female,3,Laboratory Technician,Single,31020,1.0,13,1,6.0,3,5,1,4,2,3,3.0,3.0,1.0,24483.763052
29,1,1.0,Research & Development,6,3,Life Sciences,579,Male,1,Sales Executive,Married,22440,1.0,12,3,11.0,5,11,3,10,1,3,4.0,1.0,1.0,24463.791164
40,0,2.0,Research & Development,2,4,Medical,580,Male,4,Human Resources,Single,75960,9.0,11,0,20.0,0,18,2,13,1,3,2.0,3.0,2.0,24144.839357
42,1,2.0,Sales,2,4,Life Sciences,581,Male,1,Laboratory Technician,Single,22850,0.0,16,0,22.0,3,21,13,14,1,3,3.0,1.0,2.0,28919.128514
42,0,1.0,Research & Development,1,2,Life Sciences,582,Male,4,Laboratory Technician,Single,30340,7.0,21,1,9.0,3,6,1,5,2,4,2.0,1.0,4.0,27692.192771
35,0,1.0,Research & Development,5,3,Medical,583,Male,1,Healthcare Representative,Married,57150,6.0,24,2,10.0,0,8,1,7,3,4,4.0,3.0,3.0,25413.746987
24,0,1.0,Sales,7,4,Life Sciences,584,Female,1,Laboratory Technician,Single,25760,8.0,17,3,6.0,3,4,1,2,3,3,4.0,2.0,3.0,28488.15261
28,1,1.0,Research & Development,15,4,Life Sciences,585,Male,2,Sales Executive,Married,41970,1.0,13,0,1.0,3,1,0,0,1,3,3.0,4.0,2.0,37030.702811
26,0,1.0,Research & Development,1,4,Life Sciences,586,Male,2,Sales Representative,Married,143360,1.0,21,1,8.0,3,8,0,7,3,4,1.0,4.0,3.0,27071.232931
30,0,1.0,Research & Development,7,2,Life Sciences,587,Female,1,Manufacturing Director,Married,34480,1.0,11,0,10.0,3,10,1,4,3,3,3.0,4.0,3.0,27678.807228
40,0,2.0,Research & Development,26,4,Life Sciences,588,Male,2,Research Scientist,Married,194060,3.0,20,3,16.0,2,1,0,0,3,4,3.0,4.0,1.0,37856.212851
35,0,1.0,Research & Development,18,5,Medical,589,Female,2,Research Scientist,Divorced,65380,2.0,16,1,15.0,3,7,6,4,3,3,3.0,2.0,4.0,24838.859437
34,0,2.0,Research & Development,6,2,Life Sciences,590,Male,1,Research Director,Single,43060,0.0,11,0,14.0,2,13,4,9,3,3,4.0,1.0,3.0,26980.489959
35,0,2.0,Research & Development,3,3,Medical,591,Female,2,Laboratory Technician,Married,22580,1.0,11,1,2.0,2,2,2,2,3,3,4.0,4.0,4.0,28740.574297
43,1,1.0,Sales,5,3,Marketing,592,Female,3,Research Scientist,Single,45220,8.0,15,1,7.0,3,4,1,3,3,3,1.0,3.0,2.0,27038.835341
32,0,0.0,Research & Development,11,2,Other,593,Female,2,Research Scientist,Divorced,44870,1.0,11,0,1.0,5,1,0,0,2,3,3.0,1.0,3.0,23786.421686
56,0,1.0,Research & Development,3,2,Other,594,Male,2,Healthcare Representative,Divorced,44490,4.0,15,0,28.0,3,5,4,2,1,3,4.0,1.0,3.0,22651.04016
29,0,1.0,Research & Development,26,1,Life Sciences,595,Male,1,Laboratory Technician,Married,22180,1.0,24,1,10.0,1,10,0,8,3,4,2.0,4.0,3.0,26874.799196
19,0,1.0,Research & Development,23,4,Life Sciences,596,Male,2,Laboratory Technician,Single,191970,1.0,12,0,1.0,2,1,0,0,3,3,3.0,1.0,3.0,26223.13253
45,0,1.0,Research & Development,22,3,Life Sciences,597,Female,2,Sales Representative,Married,132120,4.0,13,0,7.0,4,3,0,2,3,3,1.0,3.0,2.0,31668.489959
37,0,1.0,Research & Development,14,4,Life Sciences,598,Male,3,Research Scientist,Married,65770,1.0,13,0,14.0,1,14,3,11,1,3,4.0,4.0,2.0,24394.975903
20,0,1.0,Research & Development,6,3,Medical,599,Male,5,Research Director,Single,83920,1.0,17,0,2.0,5,2,1,2,3,3,1.0,3.0,2.0,24103.831325
44,1,1.0,Human Resources,6,2,Human Resources,600,Male,3,Sales Executive,Single,45580,1.0,13,1,6.0,2,6,0,2,1,3,3.0,3.0,3.0,37431.253012
53,0,1.0,Research & Development,6,4,Life Sciences,601,Male,1,Research Director,Divorced,40310,3.0,12,1,26.0,3,7,4,7,2,3,4.0,3.0,3.0,21594.092369
29,0,1.0,Research & Development,23,3,Medical,602,Male,1,Sales Executive,Married,79690,0.0,14,0,6.0,3,5,1,3,3,3,2.0,4.0,2.0,32032.244979
22,1,2.0,Research & Development,22,4,Medical,603,Male,1,Sales Representative,Married,26540,0.0,24,0,1.0,5,0,0,0,2,4,3.0,4.0,3.0,35565.706827
46,0,1.0,Research & Development,2,3,Life Sciences,604,Male,2,Research Scientist,Married,165550,8.0,14,2,28.0,4,26,15,9,3,3,3.0,1.0,3.0,21583.518072
44,0,0.0,Research & Development,20,3,Life Sciences,605,Male,1,Sales Representative,Single,45560,2.0,13,0,6.0,4,0,0,0,3,3,4.0,3.0,3.0,22214.429718
33,0,1.0,Research & Development,28,4,Life Sciences,606,Female,1,Manager,Married,60910,1.0,15,0,5.0,6,5,1,4,1,3,2.0,3.0,3.0,28146.277108
41,1,0.0,Research & Development,12,3,Life Sciences,607,Male,2,Sales Representative,Divorced,195660,6.0,16,0,5.0,2,1,0,0,4,3,1.0,1.0,1.0,25863.7751
30,0,1.0,Sales,20,3,Marketing,608,Male,3,Sales Executive,Divorced,48100,8.0,18,0,8.0,3,4,0,3,2,3,3.0,1.0,3.0,26971.598393
40,0,2.0,Sales,9,3,Medical,609,Male,1,Manufacturing Director,Married,45230,5.0,16,1,5.0,5,0,0,0,4,3,2.0,2.0,3.0,24434.799196
50,0,2.0,Research & Development,25,4,Life Sciences,610,Female,2,Healthcare Representative,Married,32020,2.0,24,1,32.0,2,2,2,2,3,4,4.0,1.0,3.0,26011.124497
28,0,1.0,Research & Development,6,3,Technical Degree,611,Male,2,Research Scientist,Married,23510,1.0,16,0,6.0,4,6,3,3,3,3,4.0,1.0,3.0,25902.164658
46,0,1.0,Research & Development,8,4,Other,612,Male,3,Manager,Married,17020,5.0,21,0,25.0,2,4,0,3,3,4,4.0,2.0,3.0,26239.783132
35,0,1.0,Sales,4,4,Marketing,613,Male,1,Laboratory Technician,Married,180410,3.0,20,1,15.0,3,7,1,7,2,4,3.0,1.0,3.0,30596.734939
24,1,1.0,Human Resources,28,4,Human Resources,614,Male,3,Manufacturing Director,Married,28860,1.0,19,1,1.0,5,1,0,0,3,3,4.0,2.0,1.0,23598.30522
33,0,2.0,Research & Development,9,2,Medical,615,Female,1,Sales Executive,Married,20970,1.0,14,2,10.0,5,10,0,1,2,3,2.0,3.0,2.0,21663.445783
36,0,1.0,Research & Development,9,2,Medical,616,Male,2,Sales Executive,Divorced,119350,1.0,11,3,7.0,6,7,1,7,4,3,3.0,3.0,3.0,23694.136546
30,0,1.0,Sales,29,3,Marketing,617,Male,1,Sales Executive,Divorced,25460,1.0,14,1,10.0,2,10,8,9,3,3,3.0,3.0,2.0,21631.405622
44,0,1.0,Research & Development,3,4,Medical,618,Male,2,Research Scientist,Single,25640,1.0,12,3,20.0,3,20,13,17,1,3,4.0,4.0,3.0,27305.542168
20,0,1.0,Research & Development,18,4,Medical,619,Male,1,Human Resources,Single,84120,1.0,13,0,2.0,2,2,2,2,2,3,3.0,4.0,3.0,22595.602409
46,0,1.0,Sales,9,1,Medical,620,Female,1,Sales Executive,Divorced,141180,2.0,22,0,12.0,3,6,1,4,3,4,4.0,4.0,2.0,22366.514056
42,0,0.0,Research & Development,5,4,Medical,621,Male,5,Sales Executive,Married,170460,7.0,11,0,10.0,3,4,0,3,2,3,4.0,1.0,4.0,27025.13253
60,0,1.0,Sales,2,2,Life Sciences,622,Male,2,Sales Executive,Divorced,25640,0.0,14,1,12.0,3,11,1,9,3,3,2.0,4.0,3.0,31012.473895
32,0,2.0,Sales,10,3,Life Sciences,623,Female,1,Sales Executive,Married,102660,1.0,11,0,2.0,3,2,2,2,3,3,3.0,2.0,3.0,26144.666666
32,0,2.0,Research & Development,9,3,Life Sciences,624,Female,2,Research Scientist,Single,50700,4.0,12,1,10.0,6,8,0,7,3,3,4.0,3.0,3.0,30213.13253
36,0,1.0,Sales,3,2,Marketing,625,Male,4,Healthcare Representative,Divorced,178610,2.0,18,0,17.0,2,7,7,7,2,3,3.0,1.0,3.0,28915.923694
33,0,1.0,Sales,26,2,Marketing,626,Male,1,Research Scientist,Married,42300,0.0,12,0,15.0,0,14,4,10,3,3,1.0,4.0,3.0,21799.658634
40,0,1.0,Research & Development,1,3,Medical,627,Female,2,Research Scientist,Divorced,37800,7.0,12,0,7.0,2,5,1,3,1,3,2.0,2.0,4.0,26231.156626
25,0,1.0,Research & Development,6,2,Medical,628,Female,1,Laboratory Technician,Single,27680,0.0,22,1,5.0,0,4,1,1,3,4,3.0,4.0,3.0,28829.855421
30,0,1.0,Sales,9,3,Marketing,629,Female,1,Research Scientist,Married,90710,0.0,19,1,12.0,2,11,5,7,2,3,4.0,2.0,3.0,33060.453815
42,0,2.0,Human Resources,8,2,Medical,630,Male,1,Sales Executive,Married,106480,3.0,13,1,20.0,1,1,0,0,3,3,1.0,1.0,3.0,34293.06024
35,0,0.0,Research & Development,1,1,Life Sciences,631,Male,2,Sales Executive,Married,136100,4.0,22,2,16.0,4,13,4,12,2,4,3.0,4.0,2.0,35293.502008
27,0,1.0,Research & Development,7,3,Life Sciences,632,Male,3,Manufacturing Director,Married,34080,1.0,24,0,9.0,2,9,6,8,3,4,1.0,1.0,2.0,33067.51004
54,0,2.0,Research & Development,9,2,Medical,633,Male,2,Sales Representative,Divorced,29830,7.0,14,1,33.0,2,5,1,4,2,3,4.0,3.0,1.0,22729.811244
44,0,1.0,Human Resources,4,4,Life Sciences,634,Male,5,Laboratory Technician,Married,76320,1.0,21,0,10.0,3,10,7,7,3,4,1.0,4.0,3.0,21621.204819
19,1,0.0,Sales,2,2,Other,635,Male,3,Healthcare Representative,Single,98240,1.0,18,0,1.0,2,1,0,0,3,3,1.0,2.0,4.0,30199.092369
29,0,1.0,Research & Development,19,4,Life Sciences,636,Male,1,Manufacturing Director,Divorced,99500,1.0,20,0,3.0,3,3,1,2,3,4,1.0,4.0,3.0,26573.313253
54,0,1.0,Research & Development,9,4,Life Sciences,637,Male,2,Sales Executive,Married,20930,3.0,19,0,36.0,2,10,0,9,3,3,4.0,4.0,3.0,27618.939759
31,0,1.0,Research & Development,21,3,Life Sciences,638,Male,2,Laboratory Technician,Married,99800,1.0,12,0,6.0,1,6,0,1,3,3,3.0,1.0,2.0,30911.582329
31,0,1.0,Sales,24,1,Marketing,639,Female,1,Sales Executive,Single,38940,1.0,12,0,10.0,3,10,1,8,4,3,3.0,1.0,3.0,26187.453815
